ЁЖ	Дикое животное размером немного больше ладони, спина и бока которого покрыты серыми иголками и которое в случае опасности сворачивается в клубок
ЁЖ	сооружение в виде трех скрещивающихся и скрепленных друг с другом в месте пересечения рельсов, предназначенное для того, чтобы помешать проходу танков
ЁЖ	морское беспозвоночное животное, покрытое иглами
ЁЖИК	Короткие жесткие волосы, которые торчат вверх и напоминают иголки ежа
ЁЖИК	Разновидность короткой стрижки, при которой волосы торчат вверх, напоминая иголки ежа
ЁЖИК	Блюдо из мясного фарша с добавлением риса в форме шариков, которому зернышки риса придают сходство с ежом
ЁЖИТЬСЯ	Существо А1 под действием неприятного для него фактора А2 делает мелкие движения всем телом, как бы стараясь сжаться
ЁЛКА	Ель
ЁЛКА	Ель, специально срубленная и предназначенная для того, чтобы ее украшали к Новому году или Рождеству
ЁЛКА	Развлекательное мероприятие, посвященное празднованию Нового года или Рождества, обычно включающее в себя танцы и игры вокруг украшенной елки 2.1, которое предназначено для людей А1 и проходит в учреждении А2
ЁЛКА	Говорящий выражает досаду или удивление по поводу какого-л. положения дел
ЁМКИЙ	Такой, который может вместить большое количество предметов или субстанции
ЁМКИЙ	Такой, который, несмотря на свою компактность, может вмещать много элементов А2, содержать много информации А2 или обозначать много различных явлений А2 действительности
ЁМКИЙ	Такой, который вмещает много единиц информации
ЁМКИЙ	Такой, который может накапливать большое количество заряда
ЁМКОСТЬ	вместилище
ЁМКОСТЬ	объем
ЁМКОСТЬ	большой объем
ЁМКОСТЬ	количество информации, которое может вмещать память или мозг.': различная емкость мозга. емкость 3.2 перен. ‘большое количество элементов или информации
ЁМКОСТЬ	количество информации, которое вмещает электронный носитель
ЁМКОСТЬ	количество электрического заряда, которое может накопить устройство
ЁМКОСТЬ	Предмет, имеющий внутри пустое пространство, которое занимает большую часть его объема, предназначенный для того, чтобы помещать в него мелкие и однородные предметы или вещество А1
А	Имеет место ситуация А1, и естественно ожидать, что не имеет места ситуация А2, потому что ситуация типа А1 обычно препятствует существованию ситуации типа А2; в данном случае А2 имеет место, и говорящий не знает, почему это так, или не думает об этом
А	Имеет место ситуация А2, и это обычно уже известно адресату; естественно ожидать, что не имеет места ситуация А1, потому что ситуация типа А2 обычно препятствует существованию ситуации типа А1; в данном случае А1 имеет место, и говорящий не знает, почему это так, или не думает об этом
А	Имеет место ситуация А1; естественно ожидать, что не имеет места ситуация А2, потому что ее субъектом является сознательно действующий человек, на поведение которого обычно влияет ситуация типа А1, так что в результате человек не участвует в ситуации типа А2 и она не имеет места; в данном случае А2 имеет место; по мнению говорящего, субъект ситуации А2 не знает, что имеет место А1, или не учитывает А1 в своем поведении
А	Имеет место ситуация А1, и естественно ожидать, что не имеет места ситуация А2, так как некоторый фактор, обусловливая ситуацию типа А1, одновременно препятствует существованию ситуации типа А2; в данном случае А2 имеет место, и говорящий не знает, почему это так, или не думает об этом
А	Субъект хочет, чтобы имела место ситуация А1 или некоторая подразумеваемая ситуация; для выполнения желаемого нужно, чтобы имела место определенная ситуация; в данном случае вместо нее имеет место противоположная ситуация А2, которая препятствует выполнению желаемого, поэтому субъект не может выполнить то, что хочет
А	она перелезет через забор
А	Характеризуя объекты А1 и А3 по некоторому общему для них признаку, говорящий помещает в фокус внимания сначала объект А1, потом объект А3 и характеризует А1 как А2, А3 – как А4, причем А2 и А4 не тождественны
А	Говорящий указывает на то, что в предложении А2 в фокусе – объект, лишь упоминавшийся или подразумевавшийся в предложении А1, и на то, что за А2 последует продолжение повествования
А	Имеет место ситуация А1, и благодаря этому ее субъект неожиданно для себя обнаруживает, что имеет место ситуация А2
