ЁЖ	дикий животное размер немного большой ладонь спина и бок который покрывать серый иголка и который в случай опасность сворачиваться в клубок
ЁЖ	сооружение в вид три скрещиваться и скреплять друг с друг в место пересечение рельс предназначать для то чтобы помешать проход танк
ЁЖ	морской беспозвоночное животное покрывать игла
ЁЖИК	короткий жесткий волос который торчать вверх и напоминать иголка ежа
ЁЖИК	разновидность короткий стрижка при который волос торчать вверх напоминать иголка ежа
ЁЖИК	блюдо из мясной фарш с добавление рис в форма шарик который зернышко рис придавать сходство с еж
ЁЖИТЬСЯ	существо под действие неприятный для он фактор делать мелкий движение весь тело как бы стараться сжиматься
ЁЛКА	ель
ЁЛКА	ель специально срубать и предназначать для то чтобы она украшать к новый год или рождество
ЁЛКА	развлекательный мероприятие посвящать празднование новый год или рождество обычно включать в себя танец и игра вокруг украшать елка который предназначать для человек и проходить в учреждение
ЁЛКА	говорить выражать досада или удивление по повод какой л положение дело
ЁМКИЙ	такой который мочь вмещать большой количество предмет или субстанция
ЁМКИЙ	такой который несмотря на свой компактность мочь вмещать много элемент содержать много информация или обозначать много различный явление действительность
ЁМКИЙ	такой который вмещать много единица информация
ЁМКИЙ	такой который мочь накапливать большой количество заряд
ЁМКОСТЬ	вместилище
ЁМКОСТЬ	объем
ЁМКОСТЬ	большой объем
ЁМКОСТЬ	количество информация который мочь вмещать память или мозг различный емкость мозг емкость перять большой количество элемент или информация
ЁМКОСТЬ	количество информация который вмещать электронный носитель
ЁМКОСТЬ	количество электрический заряд который мочь накапливать устройство
ЁМКОСТЬ	предмет иметь внутри пустой пространство который занимать больший часть его объем предназначать для то чтобы помещать в он мелкий и однородный предмет или вещество
А	иметь место ситуация и естественно ожидать что не иметь место ситуация потому что ситуация тип обычно препятствовать существование ситуация тип в данный случай иметь место и говорящий не знать почему это так или не думать об это
А	иметь место ситуация и это обычно уже известный адресат естественно ожидать что не иметь место ситуация потому что ситуация тип обычно препятствовать существование ситуация тип в данный случай иметь место и говорящий не знать почему это так или не думать об это
А	иметь место ситуация естественно ожидать что не иметь место ситуация потому что она субъект являться сознательно действующий человек на поведение который обычно влиять ситуация тип так что в результат человек не участвовать в ситуация тип и она не иметь место в данный случай иметь место по мнение говорящий субъект ситуация не знать что иметь место или не учитывать в свой поведение
А	иметь место ситуация и естественно ожидать что не иметь место ситуация так как некоторый фактор обусловливать ситуация тип одновременно препятствовать существование ситуация тип в данный случай иметь место и говорящий не знать почему это так или не думать об это
А	субъект хотеть чтобы иметь место ситуация или некоторый подразумевать ситуация для выполнение желаемый нужный чтобы иметь место определенный ситуация в данный случай вместо она иметь место противоположный ситуация который препятствовать выполнение желаемый поэтому субъект не мочь выполнять то что хотеть
А	она перелезать через забор
А	характеризовать объект и по некоторый общий для они признак говорить помещать в фокус внимание сначала объект потом объект и характеризовать как как причем и не тождественный
А	говорить указывать на то что в предложение в фокус объект лишь упоминаться или подразумеваться в предложение и на то что за последовать продолжение повествование
А	иметь место ситуация и благодаря это ее субъект неожиданно для себя обнаруживать что иметь место ситуация
АБОРДАЖ	атаковать морской судно подходить к он вплотную и сцепляться крюк с последующий рукопашный бой
АБОРДАЖ	напористо действовать добиваться свой цель
АБРИКОС	южный фрукт размер с кулачок младенец расти на дерево овальный желтый оранжевый или светло-розовый цвет мягкий кисло-сладкий с большой гладкий коричневый косточка внутри
АБРИКОС	дерево на который расти абрикос
АБРИКОСОВЫЙ	сделать из абрикос или с добавление абрикос
АБРИКОСОВЫЙ	похожий на цвет абрикос
АБСОЛЮТНЫЙ	рассматривать в его числовой выражение в данный момент вне связь с что л другой
АБСОЛЮТНЫЙ	такой который в числовой выражение больше любой другой в тот же совокупность объект или явление
АБСОЛЮТНЫЙ	маленький любой другой подобный объект или явление в данный совокупность объект или явление
АБСОЛЮТНЫЙ	такой который в больший мера соответствовать цель чем любой другой из тот же совокупность
АБСОЛЮТНЫЙ	иметь очень большой или самый больший степень
АБСТРАКТНЫЙ	основывать на выделение наиболее общий свойство предмет или явление
АБСТРАКТНЫЙ	не иметь конкретный цель или не связанный с действительность
АБСТРАКТНЫЙ	представлять в вид образ не иметь свойство какой л реальный
АБСТРАКТНЫЙ	основывать на отказ от изображение объект реальный мир в такой форма и цвет в какой они представляться обычный человек при их непосредственный физический восприятие
АБСУРД	умозаключение высказывание или положение вещь в который иметь место полный нарушение обычный логика или причинно-следственный связь и который вызывать у говорить протест
АБСУРД	направление в литература в который любой действие человек и ситуация в который они попадать изображаться как абсурд
АБСУРД	нелепый противоречащий здравый смысл положение дело
АВАНГАРД	часть войско который перемещаться впереди с цель не допускать внезапный нападение противник на или первый вступать с он в бой
АВАНГАРД	наиболее активный часть социальный группа который говорить оценивать положительно
АВАНГАРД	направление в искусство век который искать и использовать новый художественный форма и обосновывать свой отказ от существующий художественный форма
АВАНС	часть стоимость работа который человек браться сделать для лицо выдавать это лицо человек заранее обычно с условие что сделать к определенный срок
АВАНС	выплачивать человек лицо часть стоимость товар или услуга который покупать у обычно с условие что полностью выплачивать стоимость этот товар или услуга к определенный срок
АВАНС	действие или высказывание лицо иметь место до то как человек сделать желательный для который иметь цель побуждать в будущее хорошо сделать
АВАНС	заранее вперед
АВАНС	стараться располагать кто л заранее в свой польза
АВАНС	знак свой расположение поощрять мужчина к ухаживание за себя
АВАНТЮРА	плохо подготовить действие человек или его действие с объект рассчитать на случайный успех который говорить оценивать отрицательно и который по его мнение должный заканчиваться неудача
АВАРИЯ	неожиданный прекращение функционирование или разрушение технический объект или какой-то его часть в результат событие или явление такой что оно мочь причинять ущерб другой объект или человек
АВГУСТ	восьмой месяц календарный год
АВИАЦИЯ	организованный совокупность летательный аппарат тяжело воздух принадлежать страна или лицо и использовать для цель
АВОСЬ	говорить выражать слабый надежда на то что наступать желательный для он положение дело причем это происходить не в результат его собственный усилие а в результат действие какой-то неизвестный он сила
АВОСЬ	случайный успех или расчет на случайный удача без намерение сам что-то предпринимать для их достижение
АВОСЬ	в расчет на случайный удача
АВТОБУС	наземный транспортный средство с двигатель работать на топливо иметь внутри большой пространство с ряд сидение вдоль стенка для человек и проход между сидение
АВТОМАТ	не управлять человек устройство способный выполнять действие или последовательность действие который обычно выполняться человек
АВТОМАТ	телефон устанавливать в будка в общественный место автоматически принимать плата за звонок
АВТОМАТ	ручной автоматический оружие с приклад и длинный ствол стрелять с большой скорость
АВТОМОБИЛЬ	наземный транспортный средство с двигатель работать на топливо предназначать для перевозка человек или груз
АВТОНОМИЯ	право территория находиться внутри какой-то страна или являться ее часть иметь собственный правительство или самостоятельно управлять деятельность в сфера который давать территория высокий власть этот страна
АВТОНОМИЯ	территория внутри страна иметь автономия
АВТОНОМИЯ	право большой учреждение функционировать в государство или подчиненный организация самостоятельно принимать решение относиться к специальный сфера его деятельность
АВТОНОМИЯ	не зависеть от воздействие фактор существование или функционирование явление причем связанный с так что мочь бы влиять на
АВТОНОМНЫЙ	иметь автономия
АВТОНОМНЫЙ	такой функционирование который не зависеть ни от какой внешний по отношение к он фактор
АВТОНОМНЫЙ	такой который являться часть более сложный явление обладать такой специфический свойство или функция что он можно признавать отдельный явление
АВТОНОМНЫЙ	такой который иметь в себя сам все что нужно для его нормальный существование или функционирование
